Cost:  0.19595668628934057 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708426115316106, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.1959566989698738 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024355749475, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.19595670559539197 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607439772654, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.1959566990624798 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001523745425, 'gamma_g': 0.5960001523745425, 'eta_g': 0.37427397181789346, 'eta_f': 0.37427397181789346, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.19595674051206077 params:  {'growth': 0.01, 'eps': 0.2644442338103455, 'a': 0.9972024255749474, 'b': 0.7543607339772653, 'gamma_f': 0.5960001423745425, 'gamma_g': 0.5960001423745425, 'eta_g': 0.37427398181789345, 'eta_f': 0.37427398181789345, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14708425115316107, 'beta_0': -0.24154494868640006, 'delta_sig': 0.6918789627445047, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199537596143284 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199536574554448 params:  {'growth': 0.01, 'eps': 0.244108941047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199537436245517 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545428008967, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199537274121236 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.2381918207405269, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.1519953774026482 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030965242830537, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199537555612824 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864292446613, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199537676557293 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176516293526, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.1519953763018632 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996455421403, 'gamma_g': 0.593996455421403, 'eta_g': 0.36156372258676434, 'eta_f': 0.36156372258676434, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.15199540431554664 params:  {'growth': 0.01, 'eps': 0.244108931047161, 'a': 0.9960864192446612, 'b': 0.7535176416293525, 'gamma_f': 0.593996445421403, 'gamma_g': 0.593996445421403, 'eta_g': 0.36156373258676433, 'eta_f': 0.36156373258676433, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.14030964242830538, 'beta_0': -0.23819183074052688, 'delta_sig': 0.6937545328008966, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.11811207421579092 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808575064804, 'b': 0.7549682489685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.11811205488382462 params:  {'growth': 0.01, 'eps': 0.23601140538340934, 'a': 0.9944808575064804, 'b': 0.7549682489685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.11811208307871843 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808575064804, 'b': 0.7549682489685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940093098723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.1181120805766096 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808575064804, 'b': 0.7549682489685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862542960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.11811211079274259 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808575064804, 'b': 0.7549682489685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097333907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.1181120807269741 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808675064805, 'b': 0.7549682489685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.11811207198417353 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808575064804, 'b': 0.7549682589685026, 'gamma_f': 0.5912822135418568, 'gamma_g': 0.5912822135418568, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
Cost:  0.11811208231758358 params:  {'growth': 0.01, 'eps': 0.23601139538340934, 'a': 0.9944808575064804, 'b': 0.7549682489685026, 'gamma_f': 0.5912822235418569, 'gamma_g': 0.5912822235418569, 'eta_g': 0.3416256398220721, 'eta_f': 0.3416256398220721, 'h_g': 0.5, 'h_f': 0.5, 'r_inv': 0.13097332907080672, 'beta_0': -0.2389862642960395, 'delta_sig': 0.6940092998723423, 'delta_g': 0.01, 'delta_f': 0.01, 'f_heavy': 0.1, 'r_inv_state': 0.015}
